newIndex,altitude,cadence,distance,heart_rate,latitude,longitude,speed,timestamp,timeStepDuration
0,267.19,49.0,1.02,151.0,42.28802089579403,-83.68943852372469,0.87,2013-06-09 17:50:39,0.0
1,266.99,48.0,2.75,151.0,42.28801695629953,-83.68945905938746,1.06,2013-06-09 17:50:40,1.0
2,266.59,48.0,3.67,151.0,42.28802022524178,-83.68946962058544,1.04,2013-06-09 17:50:41,1.0
3,268.39,55.0,5.96,151.0,42.28802173398435,-83.68949736468494,1.21,2013-06-09 17:50:42,1.0
4,268.39,59.0,9.35,162.0,42.28801771067083,-83.68953826837242,1.51,2013-06-09 17:50:43,1.0
5,268.39,77.0,11.979,169.0,42.28801645338535,-83.68957003578544,1.65,2013-06-09 17:50:44,1.0
6,268.59,78.0,15.599,175.0,42.28800882585347,-83.68961295112967,1.86,2013-06-09 17:50:45,1.0
7,268.59,86.0,19.039,182.0,42.28800924494863,-83.6896550282836,2.01,2013-06-09 17:50:46,1.0
8,268.59,87.0,22.339,182.0,42.28800907731056,-83.68969492614268,2.13,2013-06-09 17:50:47,1.0
9,268.59,88.0,24.689,192.0,42.28801343590021,-83.68972350843251,2.16,2013-06-09 17:50:48,1.0
10,268.59,88.0,27.049,196.0,42.288011675700545,-83.68975234217942,2.31,2013-06-09 17:50:49,1.0
11,268.59,88.0,30.169,196.0,42.28800455108285,-83.68978888727725,2.48,2013-06-09 17:50:50,1.0
12,268.79,87.0,33.088,196.0,42.288004215806716,-83.6898246780038,2.66,2013-06-09 17:50:51,1.0
13,268.99,87.0,36.118,196.0,42.28799952194096,-83.68986105546354,2.77,2013-06-09 17:50:52,1.0
14,268.99,87.0,38.868,196.0,42.28800170123577,-83.68989424780011,2.92,2013-06-09 17:50:53,1.0
15,269.19,87.0,41.298,196.0,42.28799784556031,-83.6899232491851,2.96,2013-06-09 17:50:54,1.0
16,269.19,87.0,44.198,191.0,42.28799952194096,-83.6899584531784,2.92,2013-06-09 17:50:55,1.0
17,269.19,87.0,46.958,193.0,42.287999019026756,-83.68999198079109,2.93,2013-06-09 17:50:56,1.0
18,268.99,87.0,49.938,193.0,42.287997342646115,-83.69002802297474,2.89,2013-06-09 17:50:57,1.0
19,269.19,87.0,52.627,199.0,42.28799818083644,-83.69006071239708,2.83,2013-06-09 17:50:58,1.0
20,269.19,87.0,55.207,199.0,42.287998599931605,-83.69009214453399,2.76,2013-06-09 17:50:59,1.0
21,269.19,87.0,57.637,199.0,42.28800161741675,-83.690121229738,2.76,2013-06-09 17:51:00,1.0
22,269.19,87.0,60.737,199.0,42.287997929379344,-83.69015861302614,2.81,2013-06-09 17:51:01,1.0
23,269.19,86.0,64.127,199.0,42.2879949118942,-83.6901996843517,2.83,2013-06-09 17:51:02,1.0
24,269.19,86.0,67.28699999999999,199.0,42.287992648780346,-83.69023790583014,2.85,2013-06-09 17:51:03,1.0
25,269.19,85.0,69.727,199.0,42.28799759410322,-83.69026682339609,2.8,2013-06-09 17:51:04,1.0
26,268.99,85.0,73.126,201.0,42.28799759410322,-83.69030797854066,2.84,2013-06-09 17:51:05,1.0
27,268.99,85.0,75.416,201.0,42.28800161741675,-83.690335303545,2.84,2013-06-09 17:51:06,1.0
